Name,Language,Sex,Age,Email,,,,,,
"Exercise, Dumbbell Single Leg Calf Raises",Set,1,reps,12,weight,12.5,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Assisted Chin-Up",Set,1,reps,10,bodyweight,0,assistingWeight,80,,
,,,,,,,,,,
"Exercise, Dumbbell Single Leg Calf Raises",Set,1,reps,12,weight,12.5,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Bar Dip",Set,1,reps,6,bodyweight,0,extraWeight,0,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Hanging Leg Raise",Set,1,bodyweight,0,reps,12,,,,
,,,,,,,,,,
"Exercise, Bar Dip",Set,1,reps,6,bodyweight,0,extraWeight,0,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Hanging Leg Raise",Set,1,bodyweight,0,reps,12,,,,
,,,,,,,,,,
"Exercise, Bar Dip",Set,1,reps,6,bodyweight,0,extraWeight,0,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Hanging Leg Raise",Set,1,bodyweight,0,reps,12,,,,
,,,,,,,,,,
"Exercise, Hip Abduction Machine",Set,1,reps,12,weight,60,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Hip Adduction Machine",Set,1,reps,12,weight,40,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Hip Abduction Machine",Set,1,reps,12,weight,60,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Hip Adduction Machine",Set,1,reps,12,weight,40,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Hip Abduction Machine",Set,1,reps,12,weight,60,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Hip Adduction Machine",Set,1,reps,12,weight,40,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Week #2, Day #1: Shoulders, Legs, Glutes etc.",2023-06-09,0,-1,-1,-1,-1,,,,
,,,,,,,,,,
"Exercise, Smith Machine Squat",Set,1,reps,6,weight,115,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, TKE",Set,1,reps,10,,,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Smith Machine Squat",Set,1,reps,6,weight,115,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, TKE",Set,1,reps,10,,,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Smith Machine Squat",Set,1,reps,6,weight,115,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
